,coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,Liquidity_Ratio,volatility
88,Amp,AMP,0.025125131288,-0.002,0.005,-0.033,6754386,1207186380,0.005595147619210217,Low
89,Chiliz,CHZ,0.203275,0.018,0.025,0.013,108108608,1083816831,0.0997480431266711,Stable
90,Kadena,KDA,6.24,0.008,0.003,-0.053,48584887,1069867085,0.045412077519891174,Stable
91,Dash,DASH,96.91,0.002,-0.0069999999999999,-0.0289999999999999,165410045,1029536952,0.1606645052211783,High
92,Frax Share,FXS,17.71,0.002,-0.01,-0.012,3134769,1023317870,0.003063338471749741,Low
93,Convex Finance,CVX,18.71,0.006,0.024,0.095,22222451,1013012985,0.021936985338840448,Stable
94,BitDAO,BIT,1.14,0.003,0.012,0.001,42339293,1011521016,0.041857057174578764,Stable
95,Pax Dollar,USDP,0.99955,-0.001,-0.0,-0.001,71689116,995452485,0.07201661262616668,Stable
96,Synthetix Network Token,SNX,4.48,0.001,0.059,-0.06,99940204,960919289,0.1040047849429735,Stable
97,GateToken,GT,6.32,-0.004,-0.031,-0.05,6795778,959114001,0.007085474711988903,Low
98,Loopring,LRC,0.715444,-0.001,0.0069999999999999,-0.033,92431592,891618804,0.10366716312546499,Stable
99,NEM,XEM,0.097812627388,0.003,-0.004,-0.027,12854080,880846859,0.014592865795755763,Low
100,Mina Protocol,MINA,2.02,-0.013,0.118,0.068,132755480,851729245,0.15586582329928098,High
101,Curve DAO Token,CRV,2.13,-0.002,0.0559999999999999,-0.011,162949799,838186885,0.19440747870923797,High
102,Oasis Network,ROSE,0.228057,0.002,0.002,-0.047,46311590,795948991,0.058184117982002695,Stable
103,Secret,SCRT,4.73,0.004,0.0279999999999999,-0.002,7931935,784928146,0.01010530077233337,Low
104,LINK,LN,131.31,0.001,0.017,0.022,2027017,784870999,0.0025826116681373266,Low
105,cUSDT,CUSDT,0.021768404499,0.0,0.0,0.0,5320,775840943,6.8570756003527905e-06,Low
106,Compound,COMP,115.17,0.001,0.051,0.045,55258209,766476634,0.07209379457743521,Stable
107,Anchor Protocol,ANC,2.85,-0.005,-0.083,-0.335,77859396,754479150,0.10319621953767709,Stable
108,Decred,DCR,52.84,-0.012,-0.07,-0.059,10725860,732991389,0.014632995913680509,Low
109,IoTeX,IOTX,0.077158067035,-0.015,0.0069999999999999,0.0579999999999999,53815127,732645462,0.07345316362581933,Stable
110,Holo,HOT,0.004092449012,0.002,-0.013,-0.026,45825585,726741711,0.06305621970829743,Stable
111,Bitkub Coin,KUB,7.93,-0.002,0.004,-0.045,2877708,703620569,0.004089857697153251,Low
112,yearn.finance,YFI,19370.21,-0.004,0.02,-0.049,79795044,691957768,0.11531779494380935,Stable
113,Neutrino USD,USDN,1.0,-0.001,-0.003,0.008,6067663,685994297,0.008845063328565834,Low
114,Nexus Mutual,NXM,95.18,0.006,0.03,0.035,21594,655250086,3.29553562240967e-05,Low
115,XDC Network,XDC,0.052299016906,0.012,0.034,-0.0559999999999999,9542402,644478092,0.014806402449441213,Low
116,Smooth Love Potion,SLP,0.017171858167,0.003,0.038,-0.064,237291070,642859351,0.3691181743423065,High
117,WAX,WAXP,0.276858,0.001,0.01,-0.04,20480550,626238810,0.03270405741860681,Stable
118,Qtum,QTUM,5.97,0.003,0.003,-0.013,61604038,621303049,0.0991529626309624,Stable
119,Sushi,SUSHI,3.21,0.012,0.0279999999999999,0.009,138705772,618121984,0.22439870380018712,High
120,PAX Gold,PAXG,1946.03,-0.002,0.005,-0.024,22038867,617755161,0.03567573108466511,Stable
121,1inch,1INCH,1.49,0.008,-0.003,0.087,64145152,617505356,0.10387788765997359,Stable
122,renBTC,RENBTC,40854.63,0.002,0.009,-0.026,10275356,613544826,0.016747522861516234,Low
123,Livepeer,LPT,24.57,0.013,0.032,-0.023,11245178,612934461,0.018346460699327525,Low
124,Marinade staked SOL,MSOL,93.71,0.013,0.0579999999999999,0.027,14128670,607857600,0.02324338792506666,Stable
125,Bancor Network Token,BNT,2.32,0.005,0.013,0.011,18087546,595471450,0.030375169120198792,Stable
126,Ankr,ANKR,0.072733294373,0.001,0.0069999999999999,-0.05,21277459,594634282,0.035782429039299825,Stable
127,Pocket Network,POKT,0.697976,-0.003,-0.0,-0.079,1086957,587728129,0.0018494214354678267,Low
128,Zilliqa,ZIL,0.041562864374,0.002,0.013,0.001,30167523,585253625,0.05154606774114385,Stable
129,OMG Network,OMG,4.13,0.003,0.005,0.037,75465179,579014475,0.13033383837252083,High
130,Gnosis,GNO,306.2,0.001,0.025,-0.025,1192417,571602114,0.002086096203626007,Low
131,Render Token,RNDR,2.46,0.001,0.011,-0.073,19940200,568806275,0.03505622366771534,Stable
132,Fei USD,FEI,1.0,0.002,0.003,0.009,6008234,560856126,0.010712611882926996,Low
133,ICON,ICX,0.745261,0.002,-0.011,-0.102,27185040,547848667,0.04962144044059525,Stable
134,SafeMoon,SFM,0.000962072159,0.012,-0.064,-0.152,310296,544136940,0.000570253510081488,Low
135,Ravencoin,RVN,0.051574181471,0.003,-0.003,-0.067,14056137,539976450,0.026031018574976743,Stable
136,IOST,IOST,0.022801632948,0.0,0.01,-0.027,36690680,526323716,0.06971124212080916,Stable
137,Bitcoin Gold,BTG,29.92,0.0,0.0069999999999999,-0.036,6176845,523876360,0.011790654191763873,Low
138,Kava,KAVA,3.21,0.001,0.013,-0.009,15300789,517309409,0.02957763522913228,Stable
139,Rally,RLY,0.196257,0.015,0.09,-0.001,7033356,510399595,0.013780097141338836,Low
140,e-Radix,EXRD,0.128151,0.009,0.05,0.078,2236562,508057632,0.00440218168005003,Low
141,UMA,UMA,7.69,-0.003,-0.006,-0.046,62505441,503852158,0.12405512213763308,High
142,OEC Token,OKT,32.97,0.001,0.024,-0.083,3504725,502905278,0.006968956488064538,Low
143,Songbird,SGB,0.063697975897,0.003,0.0139999999999999,-0.1169999999999999,1141938,495479119,0.002304714681629197,Low
144,WOO Network,WOO,0.512092,0.004,0.04,0.018,49800358,489182316,0.10180326714835701,Stable
145,Moonbeam,GLMR,2.41,-0.004,0.0139999999999999,-0.08,44775987,485893979,0.0921517634199785,Stable
146,Velas,VLX,0.213294,0.002,0.001,-0.049,3415563,485455669,0.007035787648820309,Low
147,Tether Gold,XAUT,1958.19,0.001,0.004,-0.023,2671319,483043378,0.005530184496184109,Low
148,Horizen,ZEN,39.44,0.001,0.021,-0.054,25684055,480024115,0.0535057598095879,Stable
149,Sapphire,SAPP,0.569767,0.005,0.012,-0.045,241909,478721909,0.0005053226005580622,Low
150,Rocket Pool,RPL,29.01,0.003,-0.034,0.0289999999999999,1766976,469695713,0.003761958968529057,Low
151,Golem,GLM,0.466554,0.001,0.003,-0.088,12086033,466317264,0.025918047503383876,Stable
152,Liquity USD,LUSD,1.01,0.001,0.002,0.001,3788413,465309713,0.008141701954972946,Low
153,Audius,AUDIO,0.743362,0.001,0.01,-0.046,6575647,457745959,0.014365275914975363,Low
154,STEPN,GMT,0.761181,0.013,0.425,4.6080000000000005,1358531219,456251258,2.9775944617779007,High
155,Baby Doge Coin,BABYDOGE,2.83e-09,0.004,-0.012,-0.071,9830393,449901755,0.021850088137575725,Stable
156,Siacoin,SC,0.008924907028,0.006,0.002,-0.0579999999999999,8429351,448569310,0.018791635566864796,Low
157,Ontology,ONT,0.509902,0.004,0.021,-0.027,26504330,446660094,0.05933892540666505,Stable
158,0x,ZRX,0.51816,0.003,0.016,-0.01,24224308,439124277,0.05516503930389619,Stable
159,Metis Token,METIS,146.26,0.0069999999999999,-0.001,-0.075,36285014,438927006,0.08266753584079992,Stable
160,APENFT,NFT,1.538902e-06,0.001,0.01,-0.052,52887977,426608620,0.12397306224145213,High
161,Synapse,SYN,2.42,0.004,0.111,-0.011,8785527,425904952,0.020627905260890228,Stable
162,dYdX,DYDX,4.8,0.0,0.034,-0.053,84542474,410559152,0.20592032497183257,High
163,SwissBorg,CHSB,0.426636,-0.004,-0.002,-0.077,717426,407989611,0.0017584418344417107,Low
164,Everdome,DOME,0.047881406153,-0.025,0.131,0.038,59460882,407661797,0.1458583620971479,High
165,SKALE,SKL,0.123037,0.002,-0.026,-0.013,8458820,399524174,0.021172235750620688,Stable
166,Dogelon Mars,ELON,7.16912e-07,0.006,-0.01,-0.035,8089301,395179401,0.02046994600308127,Stable
167,Convex CRV,CVXCRV,2.1,0.022,0.083,0.022,284039,394323956,0.0007203189044897896,Low
168,Olympus,OHM,27.85,0.002,-0.005,-0.147,8810942,391190971,0.022523377718756194,Stable
169,Constellation,DAG,0.149017,-0.001,-0.02,0.125,925421,376819046,0.002455876394315801,Low
170,Immutable X,IMX,1.59,0.001,0.01,0.001,74989985,374143811,0.20043091131073126,High
171,Gemini Dollar,GUSD,0.999103,-0.001,-0.002,-0.001,2599754,370970338,0.007007983479261353,Low
172,JUST,JST,0.049988160157,0.005,0.022,-0.044,46444031,365218776,0.12716769797180416,High
173,NuCypher,NU,0.423049,0.004,0.008,-0.107,4447816,358798163,0.012396429131104553,Low
174,Polymath,POLY,0.396075,0.002,0.0289999999999999,-0.047,16295087,356459406,0.045713724271874034,Stable
175,Ethereum Name Service,ENS,15.1,-0.003,0.075,0.0289999999999999,130802509,350492086,0.3731967545766497,High
176,Illuvium,ILV,543.69,0.0069999999999999,0.045,0.025,10973374,349615509,0.03138697717211395,Stable
177,REN,REN,0.34295,0.002,0.011,-0.153,45489119,343396923,0.13246804485781605,High
178,Decentralized Social,DESO,32.58,-0.019,-0.038,0.053,665903,343383679,0.0019392389351154922,Low
179,Keep Network,KEEP,0.623793,0.001,0.023,-0.066,1863025,342624992,0.005437504687340496,Low
180,Hive,HIVE,0.921978,0.003,0.063,0.008,27492473,342506941,0.08026836746645669,Stable
181,Flux,FLUX,1.43,0.002,0.003,0.044,11148974,328526106,0.03393634111987435,Stable
182,Nervos Network,CKB,0.010823610593,0.002,0.026,-0.025,5885924,326436851,0.0180308196883078,Low
183,Nano,XNO,2.43,0.025,0.1009999999999999,0.3929999999999999,272633201,325248112,0.8382314637386734,High
184,HUSD,HUSD,0.999448,-0.001,0.0,-0.0,21491124,321832852,0.06677728475028398,Stable
185,Lido DAO,LDO,2.9,0.016,-0.024,0.2289999999999999,6548070,320418126,0.02043601615721328,Stable
186,DeFi Kingdoms,JEWEL,4.33,0.0069999999999999,0.053,-0.093,13531791,319385783,0.04236816953120296,Stable
187,Ultra,UOS,1.17,0.005,0.024,-0.038,4195149,317369548,0.013218498833416746,Low
188,Spell Token,SPELL,0.003476639888,0.0069999999999999,-0.02,-0.109,47028727,316934220,0.14838639702585601,High
189,Telcoin,TEL,0.005151230174,0.011,0.051,-0.0139999999999999,2189831,316916231,0.006909810182615734,Low
190,Syscoin,SYS,0.497339,0.019,0.062,-0.043,11664234,316225956,0.03688575772698431,Stable
191,FLEX Coin,FLEX,3.95,-0.0,-0.001,0.006,1321112348,311501806,4.241106544338944,High
192,ConstitutionDAO,PEOPLE,0.060997698339,0.004,0.004,-0.055,148965778,309380835,0.48149646373538296,High
193,Kyber Network Crystal,KNC,3.01,0.01,-0.018,-0.043,19917604,308453415,0.06457248657791648,Stable
194,LooksRare,LOOKS,1.25,0.018,-0.0279999999999999,0.099,52982527,306746978,0.1727238760278838,High
195,Tomb,TOMB,1.19,-0.004,0.015,-0.1009999999999999,10836099,305642692,0.03545348632121065,Stable
196,Lisk,LSK,2.1,-0.004,0.03,-0.005,8942754,304232009,0.02939452041681781,Stable
197,DigitalBits,XDB,0.395059,-0.004,0.015,0.207,1567720,302184765,0.00518795181484414,Low
198,DigiByte,DGB,0.01993648681,0.004,0.0139999999999999,-0.035,12119980,302087064,0.040120817619651535,Stable
199,Persistence,XPRT,3.61,-0.001,0.091,0.07,5704698,298811585,0.019091287909737503,Low
200,PlayDapp,PLA,0.812543,0.002,0.016,-0.0279999999999999,21899896,295009942,0.07423443376698131,Stable
201,Tenset,10SET,3.29,0.001,0.003,0.345,2346397,290187601,0.008085793438155891,Low
202,Stargaze,STARS,0.387759,0.001,-0.035,-0.209,1422449,288957891,0.004922686122456507,Low
203,Ronin,RON,1.93,0.0,0.036,-0.039,2336649,285584777,0.008181980232090592,Low
204,Trust Wallet Token,TWT,0.81527,-0.006,0.13,0.109,26534917,284403138,0.09330036646782709,Stable
205,Casper Network,CSPR,0.067306582006,0.0139999999999999,0.062,0.037,10361454,280491915,0.03694029469619472,Stable
206,Tokemak,TOKE,24.1,0.006,-0.042,-0.118,6082833,280398265,0.021693547212212602,Stable
207,SafeMoon [OLD],SAFEMOON,5.15423e-07,0.002,0.02,-0.009,879,277800683,3.164139088887697e-06,Low
208,Radio Caca,RACA,0.001337390452,-0.0,0.004,0.084,17146649,277127753,0.061872724093425605,Stable
209,Pirate Chain,ARRR,1.44,-0.003,0.003,0.221,1185789,275717440,0.004300739916923645,Low
210,SXP,SXP,1.41,0.005,0.05,0.045,68376375,273381975,0.25011296008085393,High
211,MAI,MIMATIC,1.0,0.002,0.003,0.008,5757297,269690665,0.02134778005757077,Stable
212,Floki Inu,FLOKI,2.8878952e-05,0.0,0.019,-0.095,7318364,264302676,0.027689329940798632,Stable
213,Injective,INJ,5.4,0.008,0.0139999999999999,0.011,25990848,262798491,0.09890029391378811,Stable
214,Mobox,MBOX,2.11,-0.004,0.033,0.0559999999999999,42594303,261388946,0.16295372720160858,High
215,MXC,MXC,0.105998,-0.005,0.017,0.1689999999999999,22877952,258748257,0.08841780139991436,Stable
216,Everscale,EVER,0.19269,0.0,-0.0139999999999999,-0.011,14939,258439550,5.780462007459772e-05,Low
217,Perpetual Protocol,PERP,3.95,0.004,0.023,-0.017,9229627,257335955,0.03586606076869437,Stable
218,Zenon,ZNN,5.21,0.0069999999999999,-0.026,-0.114,38130,257245207,0.0001482243360126045,Low
219,WINkLink,WIN,0.000265884701,-0.0,-0.001,-0.043,78640150,256027145,0.3071555166542985,High
220,Coin98,C98,1.37,0.003,0.023,0.036,32845038,254083272,0.12926879342139455,High
221,WazirX,WRX,0.55677,-0.001,-0.002,-0.123,6363664,254078525,0.025046052199807125,Stable
222,Serum,SRM,1.9,0.005,0.018,-0.016,28934537,253353070,0.1142063800529435,Stable
223,Lido Staked SOL,STSOL,93.27,0.0139999999999999,0.064,0.0279999999999999,4306699,252733440,0.017040479487004174,Low
224,Zipmex Token,ZMT,2.84,-0.002,0.018,0.003,14507743,252612673,0.05743078060062331,Stable
225,Mirror Protocol,MIR,1.71,0.005,0.004,-0.1689999999999999,49984848,248849118,0.20086407539527626,High
226,Creditcoin,CTC,1.17,-0.001,0.032,0.02,3120629,242723178,0.01285674085892201,Low
227,Tribe,TRIBE,0.531679,-0.005,-0.021,-0.0409999999999999,8080240,242034097,0.033384717691243314,Stable
228,VVS Finance,VVS,2.2036915e-05,-0.0,-0.013,-0.129,2778953,236041817,0.011773138485881084,Low
229,Metahero,HERO,0.044697410123,-0.005,-0.01,-0.13,7788330,234727576,0.03318029407844266,Stable
230,Yield Guild Games,YGG,2.65,0.022,0.096,-0.013,32498566,232020727,0.14006751215808405,High
231,Function X,FX,0.490287,-0.008,0.003,-0.025,2789713,230355668,0.012110459552486462,Low
232,API3,API3,4.64,0.003,-0.012,-0.146,30688251,230330587,0.13323567399235603,High
233,Dent,DENT,0.002405588079,-0.002,0.023,-0.042,15366549,230289059,0.06672722128757319,Stable
234,Raydium,RAY,2.52,0.006,0.004,-0.01,20578926,229551472,0.08964841663049758,Stable
235,Fetch.ai,FET,0.333007,0.01,0.016,-0.06,18218920,229348461,0.07943772511296686,Stable
236,Escoin Token,ELG,3.31,0.005,-0.015,0.017,724098,228752259,0.003165424477840894,Low
237,Euro Tether,EURT,1.11,-0.0,0.006,0.003,14717552,228389194,0.0644406670133439,Stable
238,CoinEx Token,CET,0.06114066275,-0.001,-0.0,0.049,525677,227207627,0.0023136415222540043,Low
239,Astroport,ASTRO,1.81,-0.002,-0.104,0.095,8759702,227045274,0.03858130074973505,Stable
240,Chromia,CHR,0.399507,0.001,0.053,0.02,58264434,226830657,0.2568631364498495,High
241,Chia,XCH,65.99,-0.003,0.015,-0.077,9082334,225459171,0.04028371948551163,Stable
242,xSUSHI,XSUSHI,4.02,0.012,0.0579999999999999,0.022,255785,225344906,0.0011350822370042835,Low
243,Cratos,CRTS,0.003236528133,0.003,0.099,-0.027,16517737,223198961,0.07400454252114552,Stable
244,Status,SNT,0.057335510854,-0.002,0.01,-0.086,8733449,222865089,0.03918715595693859,Stable
245,Telos,TLOS,0.858613,0.001,0.046,-0.059,3788138,222068806,0.01705839765716577,Low
246,Power Ledger,POWR,0.511559,0.002,0.013,-0.04,31170583,219951909,0.14171544653426946,High
247,Astar,ASTR,0.107755,-0.001,0.044,0.027,8916820,218062741,0.04089107547263198,Stable
248,Medibloc,MED,0.040421543227,0.001,0.0069999999999999,-0.013,4569259,217275804,0.021029764547551736,Stable
249,Celer Network,CELR,0.03831685277,0.009,0.036,-0.038,29766536,216429137,0.13753479042888758,High
250,COTI,COTI,0.204755,0.001,0.016,-0.032,12162479,215079506,0.05654875829964014,Stable
251,Vulcan Forged,PYR,8.9,0.001,0.023,-0.096,20305571,212825987,0.09540926503491325,Stable
252,Dopex,DPX,1173.9,0.0069999999999999,0.042,0.0069999999999999,3078417,211922629,0.01452613632874477,Low
253,Energy Web Token,EWT,5.03,-0.0,0.025,-0.02,1278646,211101992,0.006057005847675753,Low
254,PLEX,PLEX,0.857492,0.024,0.05,0.142,14908002,210041737,0.07097637932788568,Stable
255,Orbs,ORBS,0.072277990941,-0.001,0.001,-0.008,5313234,209383845,0.02537556801481031,Stable
256,Alchemix USD,ALUSD,0.998794,-0.0,0.0,0.001,142769,208931720,0.0006833285055998199,Low
257,XYO Network,XYO,0.016424293565,-0.0,0.005,-0.055,4920583,204717393,0.024035979199871892,Stable
258,Boba Network,BOBA,1.28,0.005,0.0579999999999999,0.162,7605916,204133364,0.037259543716724325,Stable
259,Ocean Protocol,OCEAN,0.465948,0.001,-0.0069999999999999,0.0069999999999999,13125747,202260490,0.06489525957343424,Stable
260,Unibright,UBT,1.34,-0.0,0.135,0.74,1513662,201738743,0.007503080357747644,Low
261,Mdex,MDX,0.231902,0.001,0.037,0.043,10470382,200934743,0.0521083703279726,Stable
262,LUKSO Token,LYXE,13.11,-0.002,0.0069999999999999,-0.051,2438281,199459617,0.01222443438262493,Low
263,Mask Network,MASK,4.21,0.002,0.043,-0.01,72687776,198784023,0.36566206329368833,High
264,DAO Maker,DAO,2.19,0.005,0.005,-0.051,2620710,198134048,0.01322695430923614,Low
